order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2889963,670,prior,3,0,9,19.0
860545,678,prior,7,0,17,8.0
368279,687,prior,6,2,14,9.0
3118168,687,prior,7,6,14,11.0
2258553,687,prior,8,3,9,18.0
2587585,687,prior,9,4,10,8.0
2532533,687,prior,10,1,12,11.0
659537,687,prior,11,1,13,21.0
2212121,687,prior,12,4,9,10.0
1137234,687,prior,13,2,9,12.0
2244862,687,prior,14,5,10,30.0
439889,687,prior,15,6,12,8.0
1033860,687,prior,16,6,10,28.0
1191205,687,prior,17,3,14,18.0
261625,687,prior,18,5,10,9.0
3289145,687,prior,19,2,9,11.0
2376164,704,prior,6,0,10,13.0
389851,709,prior,2,0,21,6.0
3323696,716,prior,4,2,18,11.0
2910729,719,prior,23,0,12,1.0
1245862,720,prior,7,1,9,7.0
1253990,720,prior,11,1,8,6.0
702531,720,prior,12,1,7,7.0
2043070,720,prior,13,1,10,21.0
3227907,721,prior,5,0,13,8.0
1796632,721,prior,7,0,18,4.0
3370442,721,prior,10,5,13,12.0
3232477,721,prior,14,1,11,8.0
2298803,724,prior,2,0,17,30.0
2426216,727,prior,7,3,12,17.0
841816,727,prior,19,1,9,21.0
2217370,753,prior,1,4,22,
3139875,762,prior,40,5,12,9.0
652770,764,prior,1,3,13,
1813452,764,prior,3,4,17,9.0
505201,768,prior,5,1,8,7.0
1701441,777,prior,16,1,7,26.0
1357863,782,prior,3,0,15,30.0
3304643,800,prior,1,2,14,
1346329,800,prior,4,0,17,5.0
533106,800,prior,10,4,10,30.0
1423199,800,prior,15,1,12,5.0
1304007,812,prior,2,0,12,5.0
1480115,812,prior,5,5,13,6.0
978271,812,prior,6,1,14,3.0
170205,812,prior,7,3,11,2.0
2009442,812,prior,8,6,12,3.0
1783636,812,prior,10,2,18,2.0
2235442,812,prior,11,4,13,9.0
752811,812,prior,16,6,9,15.0
2717340,812,prior,17,4,12,5.0
495287,812,prior,18,5,10,15.0
1976627,812,prior,19,4,14,6.0
2505607,812,prior,21,6,21,7.0
3242798,812,prior,24,6,10,10.0
2585493,812,prior,25,2,10,10.0
1866868,812,prior,26,0,12,5.0
204274,812,prior,27,5,8,12.0
2939657,812,prior,28,3,8,12.0
1556635,812,prior,29,2,10,6.0
2812657,812,prior,30,4,9,16.0
60010,812,prior,32,6,8,6.0
1737926,812,prior,33,1,11,9.0
1853470,812,prior,34,5,11,11.0
1069878,812,prior,35,5,9,7.0
2452838,812,prior,36,1,13,10.0
2779726,812,prior,37,4,17,3.0
581808,812,prior,38,2,12,19.0
2310613,812,prior,39,5,20,17.0
936998,812,prior,40,2,12,4.0
3193450,812,prior,43,1,12,3.0
2953193,812,prior,44,4,12,3.0
3224018,812,prior,45,6,13,9.0
831745,812,prior,46,0,11,8.0
998366,812,prior,47,4,12,4.0
300368,817,prior,1,0,19,
2637592,817,prior,2,6,20,27.0
905259,817,prior,5,0,18,27.0
675668,817,prior,8,1,20,15.0
1871483,825,prior,3,2,14,30.0
898269,833,prior,8,4,12,16.0
844901,839,prior,1,2,14,
2287021,839,prior,3,0,13,0.0
2478481,839,prior,6,2,13,20.0
1951821,839,prior,8,2,16,15.0
2507931,839,prior,11,1,14,7.0
3186148,845,prior,17,6,15,16.0
382202,854,prior,63,4,14,2.0
1111184,855,prior,4,5,9,11.0
2941307,855,prior,5,3,14,5.0
248081,855,prior,6,6,17,30.0
2167228,855,prior,8,6,15,6.0
505882,894,prior,6,1,13,15.0
32101,894,prior,11,2,8,3.0
1172843,894,prior,12,2,8,7.0
2750658,894,prior,15,1,13,7.0
2007030,894,prior,18,2,13,3.0
3208538,894,prior,22,0,12,6.0
2212157,894,prior,27,0,11,14.0
2176278,894,prior,32,3,11,4.0
406400,899,prior,10,6,15,1.0
3186260,906,prior,2,0,8,30.0
1290456,910,prior,12,3,10,30.0
3070645,911,prior,12,5,12,5.0
2554367,914,prior,8,1,12,7.0
156034,914,prior,9,0,13,20.0
2878862,914,prior,12,6,8,8.0
542363,914,prior,14,2,12,6.0
1363826,914,prior,20,4,17,2.0
929344,914,prior,22,5,17,4.0
959256,923,prior,3,0,10,2.0
1716610,962,prior,26,3,18,5.0
942052,962,prior,27,1,18,5.0
2875189,965,prior,4,0,16,3.0
230058,965,prior,5,4,19,30.0
1654363,968,prior,13,0,14,5.0
2539855,968,prior,16,1,14,15.0
2721539,982,prior,8,1,13,30.0
624551,998,prior,20,1,14,14.0
2270438,1010,prior,1,0,16,
1984833,1011,prior,7,1,17,6.0
2676808,1021,prior,11,3,0,7.0
1130254,1025,prior,7,1,19,30.0
3396979,1033,prior,1,3,23,
1816892,1035,prior,3,4,13,4.0
221839,1036,prior,1,3,10,
848647,1043,prior,8,6,18,30.0
3294600,1043,prior,9,6,16,30.0
369558,1052,prior,10,1,20,19.0
589712,1052,prior,15,1,12,15.0
489003,1064,prior,3,5,12,6.0
340710,1075,prior,33,3,11,1.0
2230969,1108,prior,4,6,13,6.0
2341089,1113,prior,4,0,14,30.0
627297,1137,prior,7,0,15,29.0
821369,1141,prior,8,5,12,3.0
1735152,1147,prior,1,0,10,
445098,1147,prior,2,6,13,6.0
299750,1147,prior,3,2,19,3.0
943989,1147,prior,4,5,23,3.0
1057720,1147,prior,5,0,8,9.0
1695779,1147,prior,6,0,2,7.0
2032628,1147,prior,7,0,19,7.0
2874394,1151,prior,4,0,10,30.0
2573301,1157,prior,15,1,15,5.0
922178,1162,prior,3,5,13,7.0
1414532,1162,prior,18,1,12,10.0
2759425,1164,prior,57,2,21,4.0
2816126,1164,prior,64,5,20,0.0
2001812,1171,prior,20,1,20,3.0
1353076,1171,prior,27,6,17,3.0
352134,1171,prior,35,6,15,4.0
3331938,1186,prior,3,0,15,0.0
578112,1186,prior,5,6,17,15.0
111442,1186,prior,13,3,9,2.0
2476894,1186,prior,17,5,14,13.0
1709665,1199,prior,2,1,7,8.0
3280537,1199,prior,18,3,9,7.0
2121491,1203,prior,11,4,19,30.0
1136846,1204,prior,1,6,16,
972368,1204,prior,2,4,14,26.0
792965,1204,prior,4,6,11,29.0
1792981,1204,prior,5,1,13,9.0
2915675,1204,prior,6,6,3,12.0
311838,1204,prior,8,4,14,9.0
1613894,1204,prior,10,0,16,12.0
3146892,1211,prior,1,3,6,
2780820,1212,prior,11,0,11,7.0
1669782,1216,prior,20,0,15,2.0
176000,1222,prior,4,4,14,26.0
1145244,1264,prior,15,2,16,6.0
368796,1264,prior,19,3,5,3.0
941336,1266,prior,7,6,12,5.0
1681324,1271,prior,5,0,12,7.0
3201646,1272,prior,19,0,14,30.0
1926378,1285,prior,20,1,13,3.0
2192858,1285,prior,40,3,14,1.0
2678221,1298,prior,1,6,17,
3377536,1298,prior,2,6,13,21.0
2360217,1298,prior,3,6,11,30.0
3035885,1298,prior,4,5,13,27.0
2087086,1298,prior,5,5,14,7.0
2447670,1298,prior,6,2,16,18.0
1109654,1298,prior,8,0,15,30.0
2280449,1310,prior,38,2,11,4.0
1318238,1310,prior,46,4,9,1.0
295543,1338,prior,8,0,9,2.0
2768450,1340,prior,4,3,9,30.0
2941224,1351,prior,8,3,11,30.0
1592283,1356,prior,5,5,23,11.0
2846848,1362,prior,1,5,13,
1904749,1363,prior,10,1,8,30.0
739240,1363,prior,11,1,8,0.0
2991497,1363,prior,13,3,11,30.0
1177369,1372,prior,1,0,21,
3342862,1372,prior,2,6,11,30.0
829469,1372,prior,5,6,17,14.0
2224495,1372,prior,8,0,13,22.0
1798115,1379,prior,1,5,11,
1666722,1386,prior,3,2,8,6.0
764331,1386,prior,7,6,12,30.0
2803920,1388,prior,5,2,17,7.0
3364258,1388,prior,7,4,15,8.0
3404299,1395,prior,2,0,14,30.0
1916322,1402,prior,2,0,9,9.0
2347246,1402,prior,3,6,16,13.0
2802852,1402,prior,4,0,17,8.0
282053,1402,prior,5,1,9,8.0
643601,1402,prior,9,6,14,15.0
2392292,1414,prior,2,3,23,7.0
2614966,1414,prior,4,6,17,4.0
2075205,1414,prior,6,0,11,10.0
2146818,1414,prior,8,2,10,9.0
941105,1414,prior,9,0,13,12.0
745976,1414,prior,10,0,16,21.0
2760377,1414,prior,11,3,16,17.0
2904663,1414,prior,13,1,15,15.0
1995386,1424,prior,20,3,13,6.0
1313310,1427,prior,15,4,19,30.0
926240,1427,prior,16,4,2,7.0
3393792,1454,prior,1,4,15,
2533700,1454,prior,17,4,7,6.0
3097242,1454,prior,18,6,14,9.0
86142,1454,prior,20,5,12,5.0
1331276,1478,prior,2,5,9,19.0
2038296,1478,prior,7,1,15,20.0
497193,1480,prior,36,3,13,7.0
1727826,1480,prior,38,4,13,7.0
2694698,1480,prior,39,2,12,12.0
2754468,1491,prior,3,6,12,8.0
3171753,1494,prior,6,3,10,2.0
186761,1494,prior,7,2,8,6.0
317121,1494,prior,9,5,8,10.0
3127405,1517,prior,1,0,8,
289399,1519,prior,4,2,10,5.0
2023188,1519,prior,10,3,9,5.0
1706621,1519,prior,13,1,15,3.0
1493384,1520,prior,21,0,11,6.0
254012,1533,prior,3,6,17,30.0
1056555,1534,prior,3,3,18,30.0
3262847,1539,prior,4,0,11,15.0
200390,1540,prior,4,2,0,7.0
374436,1540,prior,5,1,21,6.0
2920553,1540,prior,6,1,0,14.0
2813049,1540,prior,7,2,2,8.0
2365998,1540,prior,8,1,23,6.0
1604797,1540,prior,9,1,3,28.0
2799665,1540,prior,14,1,14,7.0
2228851,1540,prior,15,1,14,7.0
2337422,1540,prior,18,0,21,0.0
2699008,1540,prior,19,0,22,7.0
1914830,1540,prior,20,0,22,7.0
783503,1540,prior,21,0,20,7.0
2500516,1540,prior,22,0,22,7.0
716845,1540,prior,24,4,22,3.0
1955535,1540,prior,25,6,19,16.0
1424793,1540,prior,27,1,1,5.0
749498,1540,prior,28,0,21,6.0
163083,1549,prior,29,2,19,4.0
2268920,1549,prior,95,3,4,3.0
685253,1553,prior,16,3,20,7.0
517193,1558,prior,5,0,13,4.0
1089901,1558,prior,10,0,10,7.0
2333395,1558,prior,24,4,12,9.0
2551387,1571,prior,2,3,19,5.0
2574557,1577,prior,2,1,12,21.0
1674981,1579,prior,4,5,8,8.0
170530,1579,prior,16,0,22,16.0
3055579,1579,prior,22,4,9,15.0
1984445,1581,prior,26,4,9,6.0
630998,1581,prior,36,3,15,5.0
2434812,1598,prior,1,2,12,
1531889,1598,prior,2,2,10,21.0
726947,1598,prior,3,4,17,2.0
207307,1607,prior,2,5,11,30.0
3343704,1607,prior,4,4,11,23.0
1934587,1607,prior,10,5,10,7.0
2269763,1611,prior,1,4,12,
2342721,1641,prior,5,1,12,6.0
627615,1647,prior,1,1,9,
2507439,1647,prior,4,0,13,18.0
1152609,1647,prior,6,1,9,8.0
1048339,1647,prior,8,0,17,30.0
2818381,1647,prior,9,4,15,25.0
1761773,1652,prior,2,1,10,9.0
1458311,1659,prior,7,6,14,4.0
978177,1666,prior,29,5,13,3.0
16249,1667,prior,1,5,15,
1594724,1667,prior,2,5,14,21.0
1007026,1667,prior,3,2,17,25.0
3195902,1667,prior,4,2,7,30.0
2994233,1667,prior,5,1,14,20.0
1116236,1667,prior,6,1,14,14.0
1442774,1667,prior,9,0,15,14.0
3293144,1672,prior,15,0,18,14.0
2563211,1677,prior,1,5,13,
1652519,1685,prior,3,0,17,21.0
2837108,1687,prior,2,0,10,25.0
2333896,1689,prior,7,0,16,13.0
1204624,1715,prior,28,1,17,3.0
2310809,1716,prior,2,1,11,7.0
638524,1716,prior,3,2,11,8.0
1635053,1716,prior,4,2,10,7.0
2665741,1716,prior,5,2,10,7.0
2948840,1716,prior,6,2,11,7.0
654230,1716,prior,7,1,10,6.0
2955921,1716,prior,8,1,12,7.0
264880,1716,prior,9,1,9,7.0
642790,1716,prior,10,2,10,8.0
2107101,1716,prior,11,1,9,6.0
305775,1716,prior,12,0,17,6.0
2675301,1716,prior,13,0,18,7.0
1065920,1716,prior,14,2,10,9.0
311512,1716,prior,15,1,10,6.0
1865130,1716,prior,16,1,12,7.0
841480,1716,prior,17,1,9,7.0
3297340,1716,prior,19,1,9,14.0
1303377,1716,prior,20,5,14,4.0
291516,1716,prior,21,1,8,10.0
110047,1716,prior,22,1,9,7.0
1760410,1716,prior,23,1,10,7.0
2182821,1716,prior,24,1,10,7.0
1911337,1716,prior,25,1,9,7.0
1789191,1716,prior,26,1,11,7.0
25003,1716,prior,27,1,10,7.0
1111071,1716,prior,29,1,10,5.0
1047863,1716,prior,31,1,10,11.0
3379717,1716,prior,32,1,10,7.0
955121,1716,prior,33,1,11,7.0
2384167,1716,prior,34,2,9,22.0
2198463,1716,prior,35,1,10,6.0
556849,1716,prior,36,2,10,8.0
2283940,1716,prior,37,1,9,6.0
1636054,1716,prior,38,5,15,4.0
2809803,1716,prior,40,5,16,3.0
2534757,1716,prior,41,2,17,4.0
2298707,1716,prior,42,5,13,3.0
2116076,1716,prior,44,5,17,3.0
1935113,1716,prior,47,2,19,1.0
2574860,1716,prior,52,3,10,5.0
226226,1721,prior,13,4,12,11.0
1521805,1721,prior,22,3,20,15.0
2641842,1722,prior,5,0,9,0.0
1100388,1722,prior,8,1,14,20.0
973384,1722,prior,9,1,15,7.0
819501,1722,prior,10,0,14,6.0
3069519,1722,prior,11,0,12,7.0
3391811,1722,prior,12,6,16,13.0
1109968,1722,prior,15,4,15,6.0
703323,1722,prior,18,5,11,4.0
1948406,1722,prior,19,1,15,10.0
2376405,1722,prior,20,0,10,27.0
2748484,1722,prior,21,3,10,24.0
241958,1722,prior,22,1,17,26.0
2437868,1735,prior,8,2,13,3.0
802966,1738,prior,12,4,13,15.0
59685,1742,prior,3,5,15,6.0
168480,1749,prior,6,5,16,30.0
2941566,1754,prior,38,0,13,2.0
1665066,1757,prior,1,5,8,
2542077,1782,prior,2,4,19,30.0
1302225,1784,prior,3,5,20,20.0
2226198,1784,prior,5,6,14,30.0
42342,1793,prior,55,0,19,6.0
1590952,1798,prior,6,2,23,22.0
2728486,1798,prior,9,4,9,30.0
733738,1798,prior,11,4,12,24.0
1715075,1798,prior,14,0,9,20.0
1589304,1800,prior,1,6,14,
309793,1800,prior,2,6,12,14.0
1318038,1800,prior,3,1,10,9.0
1949299,1803,prior,12,2,11,3.0
62468,1803,prior,13,2,13,0.0
3303905,1803,prior,14,3,20,1.0
609822,1821,prior,1,2,20,
2359316,1834,prior,4,6,9,21.0
213507,1834,prior,5,0,7,29.0
3113982,1840,prior,2,6,10,13.0
3323485,1840,prior,3,6,23,28.0
963988,1840,prior,4,5,20,13.0
195988,1840,prior,5,4,18,13.0
1440689,1840,prior,7,2,21,10.0
1424437,1840,prior,9,1,19,23.0
991964,1840,prior,12,0,11,19.0
1984880,1840,prior,18,1,13,1.0
831240,1840,prior,20,6,11,4.0
1254223,1840,prior,21,6,11,0.0
1066444,1840,prior,24,0,15,8.0
1418085,1840,prior,28,4,16,12.0
1496147,1840,prior,29,1,15,11.0
195642,1840,prior,30,1,20,7.0
1490075,1840,prior,34,6,12,4.0
1880031,1844,prior,3,0,10,13.0
1451842,1844,prior,4,5,14,5.0
1014464,1844,prior,5,4,11,13.0
1933580,1847,prior,9,0,14,14.0
242390,1850,prior,5,3,8,4.0
3391092,1850,prior,57,6,13,5.0
3007782,1856,prior,1,1,6,
2695399,1866,prior,13,5,10,4.0
2396674,1866,prior,14,1,12,3.0
451585,1866,prior,30,6,8,9.0
190217,1866,prior,32,2,12,6.0
628997,1866,prior,34,2,8,4.0
909761,1866,prior,35,6,14,4.0
3291556,1866,prior,37,5,11,3.0
1877028,1866,prior,39,5,17,2.0
1143244,1866,prior,42,3,12,4.0
3052939,1866,prior,67,3,13,4.0
651076,1874,prior,13,2,7,2.0
2054938,1877,prior,2,6,12,14.0
1047860,1877,prior,3,0,7,30.0
2345100,1884,prior,5,3,18,7.0
2702814,1884,prior,11,5,15,3.0
1570141,1891,prior,3,2,18,30.0
992685,1891,prior,4,5,11,17.0
123081,1891,prior,5,4,15,30.0
2951252,1908,prior,7,6,14,30.0
2138540,1912,prior,1,5,11,
1234824,1921,prior,1,4,21,
3374813,1921,prior,2,4,21,7.0
2618833,1921,prior,3,4,16,30.0
2331168,1921,prior,4,4,13,7.0
1031745,1921,prior,5,4,14,7.0
1479671,1923,prior,20,1,8,15.0
413697,1929,prior,4,5,16,30.0
2048227,1929,prior,10,6,14,20.0
71221,1937,prior,6,5,14,12.0
967475,1941,prior,5,0,13,25.0
1987872,1941,prior,6,2,15,30.0
365464,1941,prior,8,0,18,19.0
3109091,1941,prior,11,4,20,3.0
784177,1941,prior,12,0,19,17.0
2177284,1941,prior,13,1,17,8.0
2554398,1941,prior,30,2,12,2.0
123050,1945,prior,1,3,17,
2391849,1953,prior,3,3,13,8.0
264129,1958,prior,37,5,12,2.0
1733719,1977,prior,3,6,15,29.0
1365320,1977,prior,4,3,21,11.0
1463314,1977,prior,5,2,11,30.0
3082230,1977,prior,7,2,17,9.0
2142476,1977,prior,8,2,13,7.0
3033114,1982,prior,20,5,18,13.0
2930207,1983,prior,46,0,9,10.0
208681,1992,prior,8,5,17,5.0
1498448,2002,prior,5,5,13,5.0
2653749,2002,prior,6,1,15,3.0
206774,2002,prior,8,0,10,4.0
860174,2007,prior,4,1,16,12.0
202475,2011,prior,2,3,9,10.0
2051609,2011,prior,8,0,2,14.0
576212,2013,prior,21,1,15,3.0
965547,2014,prior,3,1,10,30.0
1962565,2022,prior,29,5,13,12.0
2006387,2024,prior,3,2,18,5.0
1624112,2030,prior,1,4,15,
1120979,2030,prior,3,3,18,30.0
2702917,2033,prior,10,0,17,2.0
1867805,2041,prior,9,0,10,15.0
860966,2094,prior,7,5,18,5.0
2049845,2094,prior,41,4,9,4.0
909934,2094,prior,53,6,14,2.0
2959147,2094,prior,55,4,11,9.0
1572958,2094,prior,62,6,9,4.0
2774152,2094,prior,66,6,9,1.0
629677,2099,prior,2,3,18,5.0
2647807,2100,prior,1,4,20,
2272143,2100,prior,4,2,15,27.0
325804,2100,prior,5,3,11,8.0
2528961,2100,prior,6,6,8,24.0
428757,2100,prior,8,6,12,11.0
2501092,2100,prior,10,3,22,4.0
105018,2100,prior,11,3,18,7.0
2684295,2100,prior,12,4,10,8.0
2307940,2100,prior,45,4,12,8.0
873896,2102,prior,11,1,14,7.0
169774,2107,prior,4,4,17,17.0
2404670,2113,prior,1,4,11,
3096055,2114,prior,5,2,9,15.0
1070633,2114,prior,8,6,9,26.0
241095,2114,prior,14,1,12,16.0
580813,2117,prior,1,0,11,
3224239,2117,prior,2,0,10,14.0
2578343,2117,prior,3,0,12,7.0
2277728,2117,prior,4,0,11,7.0
1307414,2117,prior,5,0,13,14.0
353304,2117,prior,6,2,9,16.0
3384104,2144,prior,2,5,9,4.0
3327701,2168,prior,5,1,9,26.0
1265627,2168,prior,9,5,15,8.0
1884213,2168,prior,14,2,9,5.0
221182,2168,prior,18,1,10,11.0
1869306,2168,prior,19,3,14,9.0
3186984,2168,prior,20,0,12,30.0
3108784,2192,prior,32,1,16,2.0
642265,2193,prior,17,6,14,2.0
1251872,2193,prior,22,6,0,7.0
2557090,2198,prior,1,6,13,
2840043,2198,prior,2,4,15,30.0
522993,2210,prior,5,5,17,30.0
2552021,2215,prior,47,0,9,2.0
1116958,2215,prior,49,0,12,4.0
3067162,2215,prior,50,2,14,2.0
425127,2215,prior,51,5,6,3.0
1866376,2215,prior,52,2,6,4.0
1563107,2215,prior,53,0,15,5.0
437918,2215,prior,55,0,13,5.0
2909987,2215,prior,57,2,6,6.0
2317210,2215,prior,58,0,7,5.0
2152124,2215,prior,59,1,15,8.0
2754582,2227,prior,1,1,15,
2438499,2227,prior,2,5,13,30.0
3313964,2231,prior,91,3,7,3.0
1809529,2235,prior,1,6,9,
2811364,2241,prior,6,3,20,4.0
2756531,2255,prior,14,0,11,10.0
2907419,2258,prior,37,6,22,5.0
1783783,2258,prior,41,1,17,7.0
3321652,2258,prior,44,2,12,6.0
718520,2268,prior,5,5,12,25.0
2734242,2277,prior,3,2,14,10.0
2637845,2280,prior,14,2,17,29.0
2509929,2281,prior,18,0,9,14.0
1118378,2291,prior,2,5,23,5.0
2826474,2298,prior,11,2,14,2.0
2286999,2310,prior,21,6,9,4.0
2237342,2310,prior,22,4,12,5.0
3342587,2310,prior,25,1,18,1.0
2389672,2310,prior,26,0,16,6.0
3271159,2310,prior,27,1,16,1.0
3144190,2310,prior,28,3,17,2.0
2275476,2310,prior,30,6,15,1.0
2586440,2310,prior,31,1,8,2.0
2997063,2310,prior,33,6,9,2.0
2371441,2310,prior,36,6,15,3.0
3009806,2311,prior,8,3,15,30.0
2432649,2311,prior,9,3,15,0.0
1973995,2327,prior,17,1,12,20.0
2728941,2334,prior,1,5,8,
2312542,2334,prior,19,0,8,22.0
1646459,2334,prior,20,6,8,6.0
1251222,2334,prior,21,5,16,30.0
1668469,2335,prior,9,3,17,8.0
535490,2335,prior,12,6,7,6.0
1896795,2342,prior,12,6,14,13.0
3075598,2350,prior,5,5,19,13.0
1515355,2358,prior,1,0,9,
2052821,2358,prior,3,0,19,11.0
2899546,2358,prior,5,5,13,5.0
230008,2362,prior,5,3,6,3.0
483452,2362,prior,7,5,6,10.0
2136646,2372,prior,3,0,20,0.0
